,Time Stamp,Load (MW),P1,P2,P3
268,2018-01-03 19:00:00,70.22443890274315,20.0,40.0,10.224439
269,2018-01-03 19:15:00,66.63341645885288,20.0,40.0,6.6334165
270,2018-01-03 19:30:00,65.6359102244389,20.0,40.0,5.6359102
271,2018-01-03 19:45:00,67.03241895261846,20.0,40.0,7.032419
272,2018-01-03 20:00:00,67.63092269326684,20.0,40.0,7.6309227
273,2018-01-03 20:15:00,68.6284289276808,20.0,40.0,8.6284289
274,2018-01-03 20:30:00,69.82543640897757,20.0,40.0,9.8254364
275,2018-01-03 20:45:00,71.6209476309227,20.0,40.0,11.620948
276,2018-01-03 21:00:00,67.83042394014963,20.0,40.0,7.8304239
277,2018-01-03 21:15:00,68.22942643391522,20.0,40.0,8.2294264
278,2018-01-03 21:30:00,67.23192019950125,20.0,40.0,7.2319202
279,2018-01-03 21:45:00,68.6284289276808,20.0,40.0,8.6284289
280,2018-01-03 22:00:00,64.63840399002494,20.0,40.0,4.638404
281,2018-01-03 22:15:00,61.64588528678304,20.0,40.0,1.6458853
282,2018-01-03 22:30:00,59.45137157107232,20.0,39.451372,0.0
283,2018-01-03 22:45:00,59.251870324189525,20.0,39.25187,0.0
284,2018-01-03 23:00:00,61.24688279301746,20.0,40.0,1.2468828
285,2018-01-03 23:15:00,62.244389027431424,20.0,40.0,2.244389
286,2018-01-03 23:30:00,64.63840399002494,20.0,40.0,4.638404
287,2018-01-03 23:45:00,64.03990024937656,20.0,40.0,4.0399002
288,2018-01-04 00:00:00,62.044887780548635,20.0,40.0,2.0448878
289,2018-01-04 00:15:00,66.63341645885288,20.0,40.0,6.6334165
290,2018-01-04 00:30:00,66.23441396508728,20.0,40.0,6.234414
291,2018-01-04 00:45:00,65.43640897755611,20.0,40.0,5.436409
292,2018-01-04 01:00:00,64.03990024937656,20.0,40.0,4.0399002
293,2018-01-04 01:15:00,61.24688279301746,20.0,40.0,1.2468828
294,2018-01-04 01:30:00,61.047381546134666,20.0,40.0,1.0473815
295,2018-01-04 01:45:00,64.63840399002494,20.0,40.0,4.638404
296,2018-01-04 02:00:00,64.63840399002494,20.0,40.0,4.638404
297,2018-01-04 02:15:00,60.64837905236908,20.0,40.0,0.64837905
298,2018-01-04 02:30:00,61.84538653366584,20.0,40.0,1.8453865
299,2018-01-04 02:45:00,61.24688279301746,20.0,40.0,1.2468828
300,2018-01-04 03:00:00,62.443890274314214,20.0,40.0,2.4438903
301,2018-01-04 03:15:00,63.84039900249377,20.0,40.0,3.840399
302,2018-01-04 03:30:00,63.042394014962596,20.0,40.0,3.042394
303,2018-01-04 03:45:00,62.84289276807981,20.0,40.0,2.8428928
304,2018-01-04 04:00:00,63.241895261845386,20.0,40.0,3.2418953
305,2018-01-04 04:15:00,61.24688279301746,20.0,40.0,1.2468828
306,2018-01-04 04:30:00,61.64588528678304,20.0,40.0,1.6458853
